vendor,total_authorized,total_ordered,num_contracts,categories,utilization_pct
MARMON MOK LLP,1162314.15,1162314.15,1,Sole and Single Source,100.0
ASD CONSULTANTS INC,1103175.55,1103175.55,1,Construction,100.0
WATERLOO MEDIA GROUP LP,1092500.0,1065131.24,1,Non-Professional Services,97.5
"SMART CHARGE RESIDENTIAL, LLC",1050000.0,38425.16,1,Non-Professional Services,3.7
ELK ELECTRIC INC,1050000.0,38425.16,1,Non-Professional Services,3.7
HOWMEDICA OSTEONICS CORP,1030000.0,139416.49,1,Sole and Single Source,13.5
"22ND CENTURY TECHNOLOGIES, INC",1000000.0,56500.0,1,Non-Professional Services,5.6
RALPH ANDERSEN & ASSOCIATES,1000000.0,56500.0,1,Non-Professional Services,5.6
"RAFTELIS FINANCIAL CONSULTANTS, INC.",1000000.0,56500.0,1,Non-Professional Services,5.6
POLIHIRE STRATEGY LLC,1000000.0,56500.0,1,Non-Professional Services,5.6
MOSAIC PUBLIC PARTNERS LLC,1000000.0,56500.0,1,Non-Professional Services,5.6
LINCOLN LEADERSHIP ADVISORS LLC,1000000.0,56500.0,1,Non-Professional Services,5.6
GOVHR USA LLC,1000000.0,56500.0,1,Non-Professional Services,5.6
"BAKER TILLY US, LLP",1000000.0,56500.0,1,Non-Professional Services,5.6
"ZRG PARTNERS, LLC",1000000.0,56500.0,1,Non-Professional Services,5.6
FARMSHARE AUSTIN,987320.2,987320.2,1,Non-Professional Services,100.0
COOPER EQUIPMENT CO INC,960000.0,146500.0,1,Non-Professional Services,15.3
"ALEON PROPERTIES, INC.",920000.0,383898.93,1,Non-Professional Services,41.7
