geoid,tract_name,aland_sqkm,total_reports,phone_reports,digital_reports,pop2020,other_reports,reports_per_1000_residents,reports_per_sqkm,pct_phone,pct_digital
48453033800,Census Tract 338,3.464526,4906,3002,1858,5004,46,980.4,1416.1,61.2,37.9
48453000101,Census Tract 1.01,3.049819,4903,3087,1758,4469,58,1097.1,1607.6,63.0,35.9
48453041300,Census Tract 413,2.360349,4845,3328,1429,4285,88,1130.7,2052.7,68.7,29.5
48453002441,Census Tract 24.41,2.159343,4843,3662,999,5407,182,895.7,2242.8,75.6,20.6
48453002105,Census Tract 21.05,1.935801,4838,3544,1242,4614,52,1048.5,2499.2,73.3,25.7
48453001920,Census Tract 19.20,9.915638,4783,3623,1114,6872,46,696.0,482.4,75.7,23.3
48453030100,Census Tract 301,2.600989,4753,3059,1641,3607,53,1317.7,1827.4,64.4,34.5
48453002104,Census Tract 21.04,1.237911,4740,3286,1397,2707,57,1751.0,3829.0,69.3,29.5
48453032300,Census Tract 323,0.936353,4737,2944,1761,3908,32,1212.1,5059.0,62.1,37.2
48453002106,Census Tract 21.06,1.629279,4714,3181,1485,2952,48,1596.9,2893.3,67.5,31.5
48453033400,Census Tract 334,2.00666,4619,3264,1263,2720,92,1698.2,2301.8,70.7,27.3
48453041500,Census Tract 415,1.501402,4601,3418,1148,2659,35,1730.3,3064.5,74.3,25.0
48453002409,Census Tract 24.09,1.337667,4597,3228,1318,3327,51,1381.7,3436.6,70.2,28.7
48453033500,Census Tract 335,2.674587,4589,3341,1203,5460,45,840.5,1715.8,72.8,26.2
48453002221,Census Tract 22.21,5.079783,4526,2784,1680,2709,62,1670.7,891.0,61.5,37.1
48453002325,Census Tract 23.25,1.304414,4524,3283,1190,4352,51,1039.5,3468.2,72.6,26.3
48453002004,Census Tract 20.04,0.859067,4516,2353,2121,3041,42,1485.0,5256.9,52.1,47.0
48453002419,Census Tract 24.19,1.355523,4505,3481,962,4839,62,931.0,3323.4,77.3,21.4
48453001307,Census Tract 13.07,1.769497,4501,2818,1634,3743,49,1202.5,2543.7,62.6,36.3
48453030200,Census Tract 302,2.795283,4480,2700,1725,4754,55,942.4,1602.7,60.3,38.5
48453001910,Census Tract 19.10,6.776565,4470,3178,1238,4914,54,909.6,659.6,71.1,27.7
48453002403,Census Tract 24.03,2.577163,4393,2928,1408,2706,57,1623.4,1704.6,66.7,32.1
48453041800,Census Tract 418,1.022593,4390,3276,1058,3675,56,1194.6,4293.0,74.6,24.1
48453032000,Census Tract 320,4.370204,4354,3050,1243,6301,61,691.0,996.3,70.1,28.5
48453000203,Census Tract 2.03,1.208518,4297,2650,1606,2537,41,1693.7,3555.6,61.7,37.4
48453001923,Census Tract 19.23,1.782115,4268,2693,1523,3274,52,1303.6,2394.9,63.1,35.7
48453002007,Census Tract 20.07,0.874062,4252,2841,1349,2271,62,1872.3,4864.6,66.8,31.7
48453041100,Census Tract 411,1.439764,4140,2695,1406,1762,39,2349.6,2875.5,65.1,34.0
48453041700,Census Tract 417,1.082029,4044,2674,1316,2158,54,1874.0,3737.4,66.1,32.5
48453001604,Census Tract 16.04,3.035085,4023,3272,705,4147,46,970.1,1325.5,81.3,17.5
48453001917,Census Tract 19.17,8.095859,3993,2578,1391,5005,24,797.8,493.2,64.6,34.8
48453041400,Census Tract 414,1.707593,3891,2584,1250,2538,57,1533.1,2278.6,66.4,32.1
48453001603,Census Tract 16.03,2.5596,3856,3002,823,4789,31,805.2,1506.5,77.9,21.3
48453000102,Census Tract 1.02,5.575523,3855,2883,919,2597,53,1484.4,691.4,74.8,23.8
48453033000,Census Tract 330,8.986811,3839,2835,935,7074,69,542.7,427.2,73.8,24.4
48453042100,Census Tract 421,3.391126,3714,2467,1211,5088,36,730.0,1095.2,66.4,32.6
48453002448,Census Tract 24.48,16.064158,3712,2579,1090,7222,43,514.0,231.1,69.5,29.4
48453034400,Census Tract 344,2.154317,3700,2667,968,3378,65,1095.3,1717.5,72.1,26.2
48453002432,Census Tract 24.32,44.469976,3634,3119,465,4097,50,887.0,81.7,85.8,12.8
48453002316,Census Tract 23.16,0.700495,3634,2225,1357,4737,52,767.2,5187.8,61.2,37.3
48453043900,Census Tract 439,5.837501,3601,2579,983,8592,39,419.1,616.9,71.6,27.3
48453002443,Census Tract 24.43,1.755323,3572,2773,740,4088,59,873.8,2035.0,77.6,20.7
48453002323,Census Tract 23.23,2.042338,3530,2324,1147,4470,59,789.7,1728.4,65.8,32.5
48453043500,Census Tract 435,7.972572,3461,2027,1376,7281,58,475.3,434.1,58.6,39.8
48453043400,Census Tract 434,1.158614,3419,2173,1218,3657,28,934.9,2950.9,63.6,35.6
48453002446,Census Tract 24.46,7.459959,3402,2690,678,1453,34,2341.4,456.0,79.1,19.9
48453002411,Census Tract 24.11,3.96801,3380,2354,978,5730,48,589.9,851.8,69.6,28.9
48453036800,Census Tract 368,6.03242,3374,2344,993,4462,37,756.2,559.3,69.5,29.4
